No;rgb_b1;rgb_b2;rgb_b3;green_b1;green_b2;ndvi_b1;nir_b1;nir_b2;red_b1;red_b2;redEdge_b1;redEdge_b2;Label
100;1.477.829.758;1.490.948.097;130.617.301;152.568.937;2.522.138.408;10.563.489;2.858.798.464;2.522.138.408;9.791.050.381;2.522.138.408;2.852.754.242;2.522.138.408;3
101;1.506.885.813;1.496.470.588;1.318.365.398;1.541.817.772;2.522.138.408;10.578.827;2.777.608.775;2.522.138.408;9.790.345.606;2.522.138.408;2.718.267.931;2.522.138.408;3
102;1.479.573.702;1.482.260.208;1.302.545.329;1.562.106.408;2.522.138.408;10.603.936;266.088.836;2.522.138.408;970.318.782;2.522.138.408;2.602.764.678;2.522.138.408;3
103;1.460.019.377;1.471.241.522;1.309.617.993;1.692.196.401;2.522.138.408;105.029.745;279.139.899;2.522.138.408;1.070.160.484;2.522.138.408;2.747.148.457;2.522.138.408;3
104;1.570.685.121;156.170.519;1.393.519.723;1.553.067.709;2.522.138.408;10.531.902;2.542.297.315;2.522.138.408;9.770.924.706;2.522.138.408;2.486.910.284;2.522.138.408;3
106;1.350.541.176;1.356.955.017;1.109.097.578;1.903.640.208;2.522.138.408;10.394.711;3.084.975.017;2.522.138.408;1.266.640.554;2.522.138.408;3.012.621.993;2.522.138.408;3
107;1.273.114.187;1.279.361.938;1.036.981.315;1.411.894.159;2.522.138.408;10.484.754;2.461.477.744;2.522.138.408;9.794.024.221;2.522.138.408;2.316.012.858;2.522.138.408;3
108;1.286.034.602;1.319.421.453;1.101.168.166;1.417.160.318;2.522.138.408;10.560.391;2.483.213.924;2.522.138.408;9.534.756.678;2.522.138.408;2.344.965.689;2.522.138.408;3
109;1.387.521.107;1.393.828.374;1.192.574.394;1.434.673.979;2.522.138.408;10.536.809;2.451.815.336;2.522.138.408;9.681.573.979;2.522.138.408;2.343.124.194;2.522.138.408;3
110;14.520.609;14.312.609;1.247.154.325;1.480.003.958;2.522.138.408;10.528.913;2.580.736.055;2.522.138.408;98.539.791;2.522.138.408;2.522.282.104;2.522.138.408;3
111;1.488.899.654;1.481.947.405;1.299.462.976;1.527.584.249;2.522.138.408;10.558.965;2.851.884.166;2.522.138.408;9.836.668.651;2.522.138.408;2.839.465.218;2.522.138.408;3
112;1.486.729.412;1.501.688.581;1.317.104.498;1.506.645.522;2.522.138.408;10.548.029;2.797.746.574;2.522.138.408;982.735.391;2.522.138.408;2.826.362.381;2.522.138.408;3
113;1.528.899.654;1.503.860.208;1.365.714.879;1.511.192.554;2.522.138.408;105.817.995;2.883.839.294;2.522.138.408;9.548.530.657;2.522.138.408;2.897.642.547;2.522.138.408;3
114;151.726.782;1.506.449.827;1.342.578.547;1.528.160.042;2.522.138.408;10.582.448;2.869.206.491;2.522.138.408;9.584.525.675;2.522.138.408;2.850.849.993;2.522.138.408;3
115;1.501.651.211;1.504.624.221;1.329.141.869;1.529.264.664;2.522.138.408;10.505.544;2.468.613.827;2.522.138.408;1.021.268.443;2.522.138.408;2.471.710.242;2.522.138.408;3
